# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P06789	uniprotkb:Q12824-1	intact:MINT-94927|uniprotkb:Q84181|intact:EBI-7015660|uniprotkb:P06789	ensembl:ENSP00000479330.1|ensembl:ENSP00000494049.2|intact:MINT-94978|intact:EBI-7015645|uniprotkb:Q12824-1	psi-mi:ve1_hpv18(display_short)|psi-mi:Replication protein E1(display_long)|uniprotkb:ATP-dependent helicase E1(gene name synonym)|uniprotkb:DNA 3'-5' helicase E1(gene name synonym)|uniprotkb:E1(gene name)	psi-mi:q12824-1(display_short)|psi-mi:SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1(display_long)|uniprotkb:BAF47(gene name synonym)|uniprotkb:BRG1-associated factor 47(gene name synonym)|uniprotkb:INI1(gene name synonym)|uniprotkb:Integrase interactor 1 protein(gene name synonym)|uniprotkb:SNF5 homolog(gene name synonym)|uniprotkb:SNF5L1(gene name synonym)|uniprotkb:INI1A(isoform synonym)|uniprotkb:SMARCB1(gene name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Lee D. et al.(1999)	intact:EBI-7015622|doi:10.1038/20966|mint:MINT-368597|mint:MINT-5211547|pubmed:10365963	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-7016286|mint:MINT-68796	intact-miscore:0.59
uniprotkb:P06789	uniprotkb:Q12824-1	intact:MINT-94927|uniprotkb:Q84181|intact:EBI-7015660|uniprotkb:P06789	ensembl:ENSP00000479330.1|ensembl:ENSP00000494049.2|intact:MINT-94978|intact:EBI-7015645|uniprotkb:Q12824-1	psi-mi:ve1_hpv18(display_short)|psi-mi:Replication protein E1(display_long)|uniprotkb:ATP-dependent helicase E1(gene name synonym)|uniprotkb:DNA 3'-5' helicase E1(gene name synonym)|uniprotkb:E1(gene name)	psi-mi:q12824-1(display_short)|psi-mi:SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1(display_long)|uniprotkb:BAF47(gene name synonym)|uniprotkb:BRG1-associated factor 47(gene name synonym)|uniprotkb:INI1(gene name synonym)|uniprotkb:Integrase interactor 1 protein(gene name synonym)|uniprotkb:SNF5 homolog(gene name synonym)|uniprotkb:SNF5L1(gene name synonym)|uniprotkb:INI1A(isoform synonym)|uniprotkb:SMARCB1(gene name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Lee D. et al.(1999)	intact:EBI-7015622|doi:10.1038/20966|mint:MINT-368597|mint:MINT-5211547|pubmed:10365963	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-7016304|mint:MINT-69678	intact-miscore:0.59
uniprotkb:P06792	uniprotkb:O60831	intact:EBI-11724180|uniprotkb:P06792	uniprotkb:B2RD20|ensembl:ENSP00000451962.2|ensembl:ENSP00000518158.1|intact:EBI-2506064|uniprotkb:O60831	psi-mi:ve5_hpv18(display_short)|psi-mi:Probable protein E5(display_long)|uniprotkb:E5(gene name)	psi-mi:praf2_human(display_short)|psi-mi:PRA1 family protein 2(display_long)|uniprotkb:JM4(orf name)|uniprotkb:PRAF2(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11724527|psi-mi:"MI:0471"|imex:IM-25307-624	intact-miscore:0.35
uniprotkb:P06792	uniprotkb:Q9BVG9	intact:EBI-11724180|uniprotkb:P06792	ensembl:ENSP00000308258.5|intact:EBI-11121911|uniprotkb:Q9BVG9	psi-mi:ve5_hpv18(display_short)|psi-mi:Probable protein E5(display_long)|uniprotkb:E5(gene name)	psi-mi:ptss2_human(display_short)|psi-mi:Phosphatidylserine synthase 2(display_long)|uniprotkb:PSS2(gene name synonym)|uniprotkb:Serine-exchange enzyme II(gene name synonym)|uniprotkb:PTDSS2(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11724527|psi-mi:"MI:0471"|imex:IM-25307-624	intact-miscore:0.35
uniprotkb:P06792	uniprotkb:Q5HYI8	intact:EBI-11724180|uniprotkb:P06792	uniprotkb:Q8WUD3|ensembl:ENSP00000273375.4|intact:EBI-2824032|uniprotkb:Q5HYI8	psi-mi:ve5_hpv18(display_short)|psi-mi:Probable protein E5(display_long)|uniprotkb:E5(gene name)	psi-mi:rabl3_human(display_short)|psi-mi:Rab-like protein 3(display_long)|uniprotkb:RABL3(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11724527|psi-mi:"MI:0471"|imex:IM-25307-624	intact-miscore:0.35
uniprotkb:P06792	uniprotkb:Q9H061	intact:EBI-11724180|uniprotkb:P06792	uniprotkb:E9PI16|uniprotkb:B2R570|ensembl:ENSP00000306887.2|intact:EBI-10963884|uniprotkb:Q9H061	psi-mi:ve5_hpv18(display_short)|psi-mi:Probable protein E5(display_long)|uniprotkb:E5(gene name)	psi-mi:t126a_human(display_short)|psi-mi:Transmembrane protein 126A(display_long)|uniprotkb:TMEM126A(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11724527|psi-mi:"MI:0471"|imex:IM-25307-624	intact-miscore:0.35
uniprotkb:P06792	uniprotkb:Q8WZ71	intact:EBI-11724180|uniprotkb:P06792	uniprotkb:Q8WZ71|intact:EBI-11724409|ensembl:ENSP00000422431.1|uniprotkb:Q9Y4M1|uniprotkb:Q6PFW5	psi-mi:ve5_hpv18(display_short)|psi-mi:Probable protein E5(display_long)|uniprotkb:E5(gene name)	psi-mi:tm158_human(display_short)|psi-mi:Transmembrane protein 158(display_long)|uniprotkb:TMEM158(gene name)|uniprotkb:Ras-induced senescence protein 1(gene name synonym)|uniprotkb:40 kDa BINP-binding protein(gene name synonym)|uniprotkb:RIS1(gene name synonym)|uniprotkb:HBBP(gene name synonym)	psi-mi:"MI:0676"(tandem affinity purification)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11724527|psi-mi:"MI:0471"|imex:IM-25307-624	intact-miscore:0.35
uniprotkb:P06792	uniprotkb:Q7Z7N9	intact:EBI-11724180|uniprotkb:P06792	intact:EBI-28967243|ensembl:ENSP00000333697.3|intact:EBI-11724423|uniprotkb:Q7Z7N9	psi-mi:ve5_hpv18(display_short)|psi-mi:Probable protein E5(display_long)|uniprotkb:E5(gene name)	psi-mi:t179b_human(display_short)|psi-mi:Transmembrane protein 179B(display_long)|uniprotkb:TMEM179B(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11724527|psi-mi:"MI:0471"|imex:IM-25307-624	intact-miscore:0.35
uniprotkb:P06792	uniprotkb:Q6ZT21	intact:EBI-11724180|uniprotkb:P06792	ensembl:ENSP00000343398.4|uniprotkb:Q6ZRG1|uniprotkb:B2RNG5|intact:EBI-11724433|uniprotkb:Q6ZT21	psi-mi:ve5_hpv18(display_short)|psi-mi:Probable protein E5(display_long)|uniprotkb:E5(gene name)	psi-mi:tmppe_human(display_short)|psi-mi:Transmembrane protein with metallophosphoesterase domain(display_long)|uniprotkb:TMPPE(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11724527|psi-mi:"MI:0471"|imex:IM-25307-624	intact-miscore:0.35
uniprotkb:P06792	uniprotkb:Q8WUY1	intact:EBI-11724180|uniprotkb:P06792	uniprotkb:Q8NBN2|uniprotkb:Q9NYI2|uniprotkb:B2RDN6|intact:EBI-2563242|ensembl:ENSP00000338607.3|intact:EBI-1170414|uniprotkb:Q8WUY1	psi-mi:ve5_hpv18(display_short)|psi-mi:Probable protein E5(display_long)|uniprotkb:E5(gene name)	psi-mi:them6_human(display_short)|psi-mi:Protein THEM6(display_long)|uniprotkb:C8orf55(gene name synonym)|uniprotkb:Mesenchymal stem cell protein DSCD75(gene name synonym)|uniprotkb:Thioesterase superfamily member 6(gene name synonym)|uniprotkb:PSEC0098(orf name)|uniprotkb:Them6(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11724527|psi-mi:"MI:0471"|imex:IM-25307-624	intact-miscore:0.35
uniprotkb:P06792	uniprotkb:Q9UBU6	intact:EBI-11724180|uniprotkb:P06792	intact:EBI-28967558|uniprotkb:B2R725|ensembl:ENSP00000259963.3|intact:EBI-6309101|uniprotkb:Q9UBU6	psi-mi:ve5_hpv18(display_short)|psi-mi:Probable protein E5(display_long)|uniprotkb:E5(gene name)	psi-mi:fa8a1_human(display_short)|psi-mi:Protein FAM8A1(display_long)|uniprotkb:AHCP(gene name synonym)|uniprotkb:Autosomal highly conserved protein(gene name synonym)|uniprotkb:FAM8A1(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11724527|psi-mi:"MI:0471"|imex:IM-25307-624	intact-miscore:0.35
uniprotkb:P06792	uniprotkb:Q14439	intact:EBI-11724180|uniprotkb:P06792	intact:EBI-28987283|uniprotkb:Q6NXF6|uniprotkb:B4DZ23|uniprotkb:H9NIL9|uniprotkb:J3KNC6|ensembl:ENSP00000453076.1|intact:EBI-11722690|uniprotkb:Q14439	psi-mi:ve5_hpv18(display_short)|psi-mi:Probable protein E5(display_long)|uniprotkb:E5(gene name)	psi-mi:gp176_human(display_short)|psi-mi:G-protein coupled receptor 176(display_long)|uniprotkb:HB-954(gene name synonym)|uniprotkb:GPR176(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11724527|psi-mi:"MI:0471"|imex:IM-25307-624	intact-miscore:0.35
