# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P0CK57	uniprotkb:P0CK57	uniprotkb:P0CK57|intact:EBI-9644937|uniprotkb:P03223|uniprotkb:Q777C6	uniprotkb:P0CK57|intact:EBI-9644937|uniprotkb:P03223|uniprotkb:Q777C6	psi-mi:ul92_ebva8(display_short)|psi-mi:Late gene expression regulator BDLF4(display_long)|uniprotkb:BDLF4(orf name)	psi-mi:ul92_ebva8(display_short)|psi-mi:Late gene expression regulator BDLF4(display_long)|uniprotkb:BDLF4(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Fossum E. et al.(2009)	intact:EBI-9641810|pubmed:19730696|imex:IM-22949	taxid:82830(ebva8)|taxid:82830("Epstein-Barr virus (strain AG876) (HHV-4)")	taxid:82830(ebva8)|taxid:82830("Epstein-Barr virus (strain AG876) (HHV-4)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-9646284|imex:IM-22949-681	intact-miscore:0.4
uniprotkb:P03228	uniprotkb:P03228	uniprotkb:Q777A5|intact:EBI-16007073|uniprotkb:P03228	uniprotkb:Q777A5|intact:EBI-16007073|uniprotkb:P03228	psi-mi:barf1_ebvb9(display_short)|psi-mi:Secreted protein BARF1(display_long)|uniprotkb:33 kDa early protein(gene name synonym)|uniprotkb:p33(gene name synonym)|uniprotkb:BARF1(orf name)	psi-mi:barf1_ebvb9(display_short)|psi-mi:Secreted protein BARF1(display_long)|uniprotkb:33 kDa early protein(gene name synonym)|uniprotkb:p33(gene name synonym)|uniprotkb:BARF1(orf name)	psi-mi:"MI:1022"(field flow fractionation)	Elegheert J. et al.(2012)	intact:EBI-16007054|doi:10.1038/nsmb.2367|pubmed:22902366|imex:IM-18563	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-16007091|dip:DIP-189987E|imex:IM-18563-1	intact-miscore:0.62
uniprotkb:P03228	uniprotkb:P03228	uniprotkb:Q777A5|intact:EBI-16007073|uniprotkb:P03228	uniprotkb:Q777A5|intact:EBI-16007073|uniprotkb:P03228	psi-mi:barf1_ebvb9(display_short)|psi-mi:Secreted protein BARF1(display_long)|uniprotkb:33 kDa early protein(gene name synonym)|uniprotkb:p33(gene name synonym)|uniprotkb:BARF1(orf name)	psi-mi:barf1_ebvb9(display_short)|psi-mi:Secreted protein BARF1(display_long)|uniprotkb:33 kDa early protein(gene name synonym)|uniprotkb:p33(gene name synonym)|uniprotkb:BARF1(orf name)	psi-mi:"MI:0067"(light scattering)	Elegheert J. et al.(2012)	intact:EBI-16007054|doi:10.1038/nsmb.2367|pubmed:22902366|imex:IM-18563	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-16007153|dip:DIP-189987E|imex:IM-18563-4	intact-miscore:0.62
uniprotkb:P03228	uniprotkb:P03228	uniprotkb:Q777A5|intact:EBI-16007073|uniprotkb:P03228	uniprotkb:Q777A5|intact:EBI-16007073|uniprotkb:P03228	psi-mi:barf1_ebvb9(display_short)|psi-mi:Secreted protein BARF1(display_long)|uniprotkb:33 kDa early protein(gene name synonym)|uniprotkb:p33(gene name synonym)|uniprotkb:BARF1(orf name)	psi-mi:barf1_ebvb9(display_short)|psi-mi:Secreted protein BARF1(display_long)|uniprotkb:33 kDa early protein(gene name synonym)|uniprotkb:p33(gene name synonym)|uniprotkb:BARF1(orf name)	psi-mi:"MI:0826"(x ray scattering)	Elegheert J. et al.(2012)	intact:EBI-16007054|doi:10.1038/nsmb.2367|pubmed:22902366|imex:IM-18563	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-16007169|dip:DIP-189987E|imex:IM-18563-5	intact-miscore:0.62
uniprotkb:P0CK49	uniprotkb:Q3KSR9	uniprotkb:P03194|uniprotkb:Q777F4|intact:EBI-2621334|uniprotkb:P0CK49	uniprotkb:Q3KSR9|intact:EBI-2621338	psi-mi:teg7_ebvb9(display_short)|psi-mi:Tegument protein UL51 homolog(display_long)|uniprotkb:BSRF1(orf name)|IntAct:BSRF1(author assigned name)	psi-mi:portl_ebvg(display_short)|psi-mi:Portal protein(display_long)|uniprotkb:BBRF1(orf name)|IntAct:BBRF1(author assigned name)	psi-mi:"MI:0096"(pull down)	Calderwood MA. et al.(2007)	intact:EBI-2620953|mint:MINT-6769080|pubmed:17446270|imex:IM-20435	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	taxid:10376(ebvg)|taxid:10376("Epstein-Barr virus (strain B95-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2621792|imex:IM-20435-53	intact-miscore:0.51
uniprotkb:P0C6Z5	uniprotkb:P0C734	uniprotkb:P0C6Z5|intact:EBI-2621381|uniprotkb:Q777E6	uniprotkb:P0C734|intact:EBI-2621388	psi-mi:gp42_ebvg(display_short)|psi-mi:Glycoprotein 42(display_long)|uniprotkb:BZLF2(orf name)|IntAct:BZLF2(author assigned name)	psi-mi:btrf1_ebvg(display_short)|psi-mi:Uncharacterized protein BTRF1(display_long)|uniprotkb:BTRF1(orf name)|IntAct:BTRF1(author assigned name)	psi-mi:"MI:0096"(pull down)	Calderwood MA. et al.(2007)	intact:EBI-2620953|mint:MINT-6769080|pubmed:17446270|imex:IM-20435	taxid:10376(ebvg)|taxid:10376("Epstein-Barr virus (strain B95-8)")	taxid:10376(ebvg)|taxid:10376("Epstein-Barr virus (strain B95-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2621845|imex:IM-20435-56	intact-miscore:0.51
uniprotkb:P0C717	uniprotkb:P0C717	uniprotkb:Q777F1|intact:EBI-9644994|uniprotkb:P0C717	uniprotkb:Q777F1|intact:EBI-9644994|uniprotkb:P0C717	psi-mi:blrf2_ebva8(display_short)|psi-mi:Tegument protein BLRF2(display_long)|uniprotkb:BLRF2(orf name)	psi-mi:blrf2_ebva8(display_short)|psi-mi:Tegument protein BLRF2(display_long)|uniprotkb:BLRF2(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Fossum E. et al.(2009)	intact:EBI-9641810|pubmed:19730696|imex:IM-22949	taxid:82830(ebva8)|taxid:82830("Epstein-Barr virus (strain AG876) (HHV-4)")	taxid:82830(ebva8)|taxid:82830("Epstein-Barr virus (strain AG876) (HHV-4)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-9646111|imex:IM-22949-666	intact-miscore:0.51
uniprotkb:P30117	uniprotkb:Q3KSS7	uniprotkb:P30117|intact:EBI-9646074|uniprotkb:Q777D8	uniprotkb:Q3KSS7|intact:EBI-9645630	psi-mi:bkrf4_ebvb9(display_short)|psi-mi:Tegument protein BKRF4(display_long)|uniprotkb:BKRF4(orf name)	psi-mi:brlf1_ebvg(display_short)|psi-mi:Replication and transcription activator(display_long)|uniprotkb:Immediate-early protein Rta(gene name synonym)|uniprotkb:BRLF1(orf name)|uniprotkb:Protein R(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Fossum E. et al.(2009)	intact:EBI-9641810|pubmed:19730696|imex:IM-22949	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	taxid:10376(ebvg)|taxid:10376("Epstein-Barr virus (strain B95-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-9646078|imex:IM-22949-663	intact-miscore:0.4
uniprotkb:P03193	uniprotkb:P13288	uniprotkb:P03193|intact:EBI-2623150|uniprotkb:Q777F5|intact:EBI-9646141	uniprotkb:Q777D1|intact:EBI-1630636|uniprotkb:P13288	psi-mi:prim_ebvb9(display_short)|psi-mi:DNA primase(display_long)|uniprotkb:BSLF1(orf name)	psi-mi:kr2_ebvb9(display_short)|psi-mi:Serine/threonine-protein kinase BGLF4(display_long)|uniprotkb:BGLF4(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Fossum E. et al.(2009)	intact:EBI-9641810|pubmed:19730696|imex:IM-22949	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-9646138|imex:IM-22949-668	intact-miscore:0.4
uniprotkb:Q1HVC7	uniprotkb:P0CK58	uniprotkb:Q1HVC7|intact:EBI-2621352|uniprotkb:Q1HVC6	uniprotkb:P03229|uniprotkb:Q777A6|intact:EBI-2621293|uniprotkb:P0CK58	psi-mi:scaf_ebva8(display_short)|psi-mi:Capsid scaffolding protein(display_long)|uniprotkb:BVRF2/BdRF1(orf name)|uniprotkb:Virion structural protein BVRF2(gene name synonym)|uniprotkb:Protein EC-RF3/EC-RF3A(gene name synonym)|uniprotkb:Protease precursor(gene name synonym)|uniprotkb:Capsid protein P40(gene name synonym)|IntAct:BdRF1(author assigned name)	psi-mi:balf1_ebvb9(display_short)|psi-mi:Apoptosis regulator BALF1(display_long)|uniprotkb:BALF1(orf name)|IntAct:BALF1(author assigned name)	psi-mi:"MI:0096"(pull down)	Calderwood MA. et al.(2007)	intact:EBI-2620953|mint:MINT-6769080|pubmed:17446270|imex:IM-20435	taxid:82830(ebva8)|taxid:82830("Epstein-Barr virus (strain AG876) (HHV-4)")	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2621807|imex:IM-20435-54	intact-miscore:0.51
uniprotkb:Q3KSU1	uniprotkb:Q3KSU1	uniprotkb:Q3KSU0|intact:EBI-2621113|uniprotkb:Q3KSU1	uniprotkb:Q3KSU0|intact:EBI-2621113|uniprotkb:Q3KSU1	psi-mi:icp27_ebvg(display_short)|psi-mi:mRNA export factor ICP27 homolog(display_long)|uniprotkb:Protein EB2(gene name synonym)|uniprotkb:Protein SM(gene name synonym)|uniprotkb:Mta(gene name synonym)|uniprotkb:BSLF2(orf name)|uniprotkb:BMLF1(orf name)|uniprotkb:ORF57 protein homolog(gene name synonym)	psi-mi:icp27_ebvg(display_short)|psi-mi:mRNA export factor ICP27 homolog(display_long)|uniprotkb:Protein EB2(gene name synonym)|uniprotkb:Protein SM(gene name synonym)|uniprotkb:Mta(gene name synonym)|uniprotkb:BSLF2(orf name)|uniprotkb:BMLF1(orf name)|uniprotkb:ORF57 protein homolog(gene name synonym)	psi-mi:"MI:0096"(pull down)	Calderwood MA. et al.(2007)	intact:EBI-2620953|mint:MINT-6769080|pubmed:17446270|imex:IM-20435	taxid:10376(ebvg)|taxid:10376("Epstein-Barr virus (strain B95-8)")	taxid:10376(ebvg)|taxid:10376("Epstein-Barr virus (strain B95-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2649545|imex:IM-20435-232	intact-miscore:0.51
uniprotkb:Q1HVD3	uniprotkb:K9USV8	intact:EBI-9644838|uniprotkb:Q1HVD3	uniprotkb:K9USV8|intact:EBI-9645003	psi-mi:btrf1_ebva8(display_short)|psi-mi:Uncharacterized protein BTRF1(display_long)|uniprotkb:BTRF1(orf name)	psi-mi:k9usv8_ebvg(display_short)|uniprotkb:BOLF1(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Fossum E. et al.(2009)	intact:EBI-9641810|pubmed:19730696|imex:IM-22949	taxid:82830(ebva8)|taxid:82830("Epstein-Barr virus (strain AG876) (HHV-4)")	taxid:10376(ebvg)|taxid:10376("Epstein-Barr virus (strain B95-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-9646174|imex:IM-22949-671	intact-miscore:0.4
uniprotkb:P0CK57	uniprotkb:K9US31	uniprotkb:P0CK57|intact:EBI-9644937|uniprotkb:P03223|uniprotkb:Q777C6	uniprotkb:K9US31|intact:EBI-9645321	psi-mi:ul92_ebva8(display_short)|psi-mi:Late gene expression regulator BDLF4(display_long)|uniprotkb:BDLF4(orf name)	psi-mi:k9us31_ebvg(display_short)|psi-mi:Packaging protein UL32(display_long)|uniprotkb:BFLF1(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Fossum E. et al.(2009)	intact:EBI-9641810|pubmed:19730696|imex:IM-22949	taxid:82830(ebva8)|taxid:82830("Epstein-Barr virus (strain AG876) (HHV-4)")	taxid:10376(ebvg)|taxid:10376("Epstein-Barr virus (strain B95-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-9646295|imex:IM-22949-682	intact-miscore:0.4
