hostUniprotID	hostGeneName	hostProteinName
Q3KQU3	MAP7D1	MAP7 domain-containing protein 1
Q8IYB3	SRRM1	Serine/arginine repetitive matrix protein 1
O75165	Dnajc13	DnaJ homolog subfamily C member 13
P34932	HSPA4	Heat shock 70 kDa protein 4
Q63ZY3	KANK2	KN motif and ankyrin repeat domain-containing protein 2
Q8N163	CCAR2	Cell cycle and apoptosis regulator protein 2
Q32P28	P3H1	Prolyl 3-hydroxylase 1
O14920	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta
P19784	CSNK2A2	Casein kinase II subunit alpha'
Q15554	TERF2	Telomeric repeat-binding factor 2
Q9BQA1	WDR77	Methylosome protein WDR77
Q13435	SF3B2	Splicing factor 3B subunit 2
P52272	HNRNPM	Heterogeneous nuclear ribonucleoprotein M
P04792	HSPB1	Heat shock protein beta-1
O15027	SEC16A	Protein transport protein Sec16A
P23246	SFPQ	Splicing factor, proline- and glutamine-rich
Q8N1F7	NUP93	Nuclear pore complex protein Nup93
P55884	EIF3B	Eukaryotic translation initiation factor 3 subunit B
P55060	CSE1L	Exportin-2
O60506	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q
P62316	SNRPD2	Small nuclear ribonucleoprotein Sm D2
Q9GZU8	PSME3IP1	PSME3-interacting protein
Q7Z4F1	LRP10	Low-density lipoprotein receptor-related protein 10
Q96N66	MBOAT7	Membrane-bound acylglycerophosphatidylinositol O-acyltransferase MBOAT7
P28065	PSMB9	Proteasome subunit beta type-9
Q9UL46	PSME2	Proteasome activator complex subunit 2
O15269	SPTLC1	Serine palmitoyltransferase 1
O60565	GREM1	Gremlin-1
P52926	Hmga2	High mobility group protein HMGI-C
Q5SSJ5	HP1BP3	Heterochromatin protein 1-binding protein 3
Q9NZI8	IGF2BP1	Insulin-like growth factor 2 mRNA-binding protein 1
O00425	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3
Q9NUQ6	SPATS2L	SPATS2-like protein
Q96SB4	SRPK1	SRSF protein kinase 1
P78362	SRPK2	SRSF protein kinase 2
Q13114	TRAF3	TNF receptor-associated factor 3
O43318	MAP3K7	Mitogen-activated protein kinase kinase kinase 7
O00203	AP3B1	AP-3 complex subunit beta-1
P01106	MYC	Myc proto-oncogene protein
Q92878	RAD50	DNA repair protein RAD50
Q9Y265	RUVBL1	RuvB-like 1
P61978	HNRNPK	Heterogeneous nuclear ribonucleoprotein K
P07195	LDHB	L-lactate dehydrogenase B chain
P35268	RPL22	Large ribosomal subunit protein eL22
Q12906	ILF3	Interleukin enhancer-binding factor 3
Q15233	NONO	Non-POU domain-containing octamer-binding protein
P41252	IARS1	Isoleucine--tRNA ligase, cytoplasmic
P09619	PDGFRB	Platelet-derived growth factor receptor beta
P28062	PSMB8	Proteasome subunit beta type-8
Q14997	PSME4	Proteasome activator complex subunit 4
Q16739	UGCG	Ceramide glucosyltransferase
Q8N474	SFRP1	Secreted frizzled-related protein 1
P38936	CDKN1A	Cyclin-dependent kinase inhibitor 1
Q9UNE7	STUB1	E3 ubiquitin-protein ligase CHIP
Q12797	ASPH	Aspartyl/asparaginyl beta-hydroxylase
P16615	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
O60716	CTNND1	Catenin delta-1
Q9UQ35	SRRM2	Serine/arginine repetitive matrix protein 2
Q9Y230	RUVBL2	RuvB-like 2
P42704	LRPPRC	Leucine-rich PPR motif-containing protein, mitochondrial
P68363	TUBA1B	Tubulin alpha-1B chain
P09012	SNRPA	U1 small nuclear ribonucleoprotein A
Q07020	RPL18	Large ribosomal subunit protein eL18
P46934	NEDD4	E3 ubiquitin-protein ligase NEDD4
Q99623	PHB2	Prohibitin-2
P55036	PSMD4	26S proteasome non-ATPase regulatory subunit 4
P37173	TGFBR2	TGF-beta receptor type-2
O95793	STAU1	Double-stranded RNA-binding protein Staufen homolog 1
P27816	Map4	Microtubule-associated protein 4
Q9NQC3	RTN4	Reticulon-4
Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein, mitochondrial
P63279	UBE2I	SUMO-conjugating enzyme UBC9
P19338	NCL	Nucleolin
Q14315	FLNC	Filamin-C
P62899	RPL31	Large ribosomal subunit protein eL31
P06493	CDK1	Cyclin-dependent kinase 1
O95071	UBR5	E3 ubiquitin-protein ligase UBR5
P32969	RPL9	Large ribosomal subunit protein uL6
P16402	H1-3	Histone H1.3
P11279	LAMP1	Lysosome-associated membrane glycoprotein 1
P67870	CSNK2B	Casein kinase II subunit beta
Q99873	PRMT1	Protein arginine N-methyltransferase 1
Q6NZI2	CAVIN1	Caveolae-associated protein 1
P62891	RPL39	Large ribosomal subunit protein eL39
P10909	CLU	Clusterin
Q9NZM1	Myof	Myoferlin
P06756	ITGAV	Integrin alpha-V
Q7KZF4	SND1	Staphylococcal nuclease domain-containing protein 1
Q93008	USP9X	Ubiquitin carboxyl-terminal hydrolase 9X
P62266	RPS23	Small ribosomal subunit protein uS12
P28072	PSMB6	Proteasome subunit beta type-6
P07437	TUBB	Tubulin beta chain
P09651	Hnrnpa1	Heterogeneous nuclear ribonucleoprotein A1
P62249	RPS16	Small ribosomal subunit protein uS9
P07814	EPRS1	Bifunctional glutamate/proline--tRNA ligase
P62829	RPL23	Large ribosomal subunit protein uL14
P17844	DDX5	Probable ATP-dependent RNA helicase DDX5
P18621	RPL17	Large ribosomal subunit protein uL22
P62241	RPS8	Small ribosomal subunit protein eS8
Q96PU5	NEDD4L	E3 ubiquitin-protein ligase NEDD4-like
P61513	RPL37A	Large ribosomal subunit protein eL43
P23497	SP100	Nuclear autoantigen Sp-100
Q93009	USP7	Ubiquitin carboxyl-terminal hydrolase 7
P62269	RPS18	Small ribosomal subunit protein uS13
P18124	RPL7	Large ribosomal subunit protein uL30
P15880	RPS2	Small ribosomal subunit protein uS5
P08708	RPS17	Small ribosomal subunit protein eS17
P35998	PSMC2	26S proteasome regulatory subunit 7
P62277	RPS13	Small ribosomal subunit protein uS15
Q08211	DHX9	ATP-dependent RNA helicase A
Q96J02	ITCH	E3 ubiquitin-protein ligase Itchy homolog
P16070	CD44	CD44 antigen
O15031	PLXNB2	Plexin-B2
P62333	PSMC6	26S proteasome regulatory subunit 10B
O00487	PSMD14	26S proteasome non-ATPase regulatory subunit 14
Q15008	PSMD6	26S proteasome non-ATPase regulatory subunit 6
P51665	PSMD7	26S proteasome non-ATPase regulatory subunit 7
P48556	PSMD8	26S proteasome non-ATPase regulatory subunit 8
O00308	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2
Q02809	PLOD1	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
P46778	RPL21	Large ribosomal subunit protein eL21
P49207	RPL34	Large ribosomal subunit protein eL34
P42766	RPL35	Large ribosomal subunit protein uL29
Q92900	UPF1	Regulator of nonsense transcripts 1
P07237	P4HB	Protein disulfide-isomerase
P12004	PCNA	Proliferating cell nuclear antigen
P40429	Rpl13a	Large ribosomal subunit protein uL13
P27708	CAD	Multifunctional protein CAD
P26373	RPL13	Large ribosomal subunit protein eL13
O75533	SF3B1	Splicing factor 3B subunit 1
P62424	RPL7A	Large ribosomal subunit protein eL8
P61247	RPS3A	Small ribosomal subunit protein eS1
P62917	RPL8	Large ribosomal subunit protein uL2
P62753	RPS6	Small ribosomal subunit protein eS6
Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U
P22626	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1
P46781	RPS9	Small ribosomal subunit protein uS4
P13010	XRCC5	X-ray repair cross-complementing protein 5
P98194	ATP2C1	Calcium-transporting ATPase type 2C member 1
P25788	PSMA3	Proteasome subunit alpha type-3
P60900	PSMA6	Proteasome subunit alpha type-6
O14818	PSMA7	Proteasome subunit alpha type-7
P49721	PSMB2	Proteasome subunit beta type-2
P49720	PSMB3	Proteasome subunit beta type-3
P28070	PSMB4	Proteasome subunit beta type-4
P28074	PSMB5	Proteasome subunit beta type-5
Q99436	PSMB7	Proteasome subunit beta type-7
P62191	PSMC1	26S proteasome regulatory subunit 4
P17980	PSMC3	26S proteasome regulatory subunit 6A
P43686	PSMC4	26S proteasome regulatory subunit 6B
P62195	PSMC5	26S proteasome regulatory subunit 8
O43242	PSMD3	26S proteasome non-ATPase regulatory subunit 3
P46779	RPL28	Large ribosomal subunit protein eL28
P39023	RPL3	Large ribosomal subunit protein uL3
P62847	RPS24	Small ribosomal subunit protein eS24
Q13200	PSMD2	26S proteasome non-ATPase regulatory subunit 2
P62807	H2BC10	Histone H2B type 1-C/E/F/G/I
Q14517	FAT1	Protocadherin Fat 1
P25786	PSMA1	Proteasome subunit alpha type-1
P25787	PSMA2	Proteasome subunit alpha type-2
P25789	PSMA4	Proteasome subunit alpha type-4
P28066	PSMA5	Proteasome subunit alpha type-5
P20618	PSMB1	Proteasome subunit beta type-1
Q99460	PSMD1	26S proteasome non-ATPase regulatory subunit 1
P62081	RPS7	Small ribosomal subunit protein eS7
P07858	CTSB	Cathepsin B
O75643	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase
P68400	CSNK2A1	Casein kinase II subunit alpha
P11021	HSPA5	Endoplasmic reticulum chaperone BiP
Q00610	CLTC	Clathrin heavy chain 1
P10809	HSPD1	60 kDa heat shock protein, mitochondrial
Q6P2Q9	PRPF8	Pre-mRNA-processing-splicing factor 8
P11142	HSPA8	Heat shock cognate 71 kDa protein
Q9GZX7	AICDA	Single-stranded DNA cytosine deaminase
P31941	APOBEC3A	DNA dC->dU-editing enzyme APOBEC-3A
Q9H668	stn1	CST complex subunit STN1
P13987	CD59	CD59 glycoprotein
Q9HC16	APOBEC3G	DNA dC->dU-editing enzyme APOBEC-3G
P09493	TPM1	Tropomyosin alpha-1 chain
Q16531	DDB1	DNA damage-binding protein 1
Q13309	SKP2	S-phase kinase-associated protein 2
Q13619	CUL4A	Cullin-4A
Q05086	UBE3A	Ubiquitin-protein ligase E3A
Q53FP2	TMEM35A	Novel acetylcholine receptor chaperone
Q5RI15	COX20	Cytochrome c oxidase assembly protein COX20, mitochondrial
O60885-1	Brd4	Bromodomain-containing protein 4
Q12824-1	SMARCB1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1
Q9BVG9	PTDSS2	Phosphatidylserine synthase 2
Q5HYI8	RABL3	Rab-like protein 3
Q9H061	TMEM126A	Transmembrane protein 126A
Q8WZ71	TMEM158	Transmembrane protein 158
Q7Z7N9	TMEM179B	Transmembrane protein 179B
Q6ZT21	TMPPE	Transmembrane protein with metallophosphoesterase domain
Q8WUY1	Them6	Protein THEM6
Q9UBU6	FAM8A1	Protein FAM8A1
Q14439	GPR176	G-protein coupled receptor 176
Q567V2	MPV17L2	Mpv17-like protein 2
P84157	MXRA7	Matrix-remodeling-associated protein 7
Q9BWM7	SFXN3	Sideroflexin-3
Q96K37	SLC35E1	Solute carrier family 35 member E1
Q9BVC6	TMEM109	Voltage-gated monoatomic cation channel TMEM109
Q9NVA4	TMEM184C	Transmembrane protein 184C
Q8N4L2	Pip4p2	Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase
Q96SL1	SLC49A4	Solute carrier family 49 member 4
Q96AM1	MRGPRF	Mas-related G-protein coupled receptor member F
Q9NRP0	OSTC	Oligosaccharyltransferase complex subunit OSTC
Q9HCU5	PREB	Guanine nucleotide-exchange factor SEC12
P53801	PTTG1IP	Pituitary tumor-transforming gene 1 protein-interacting protein
Q96AA3	RFT1	"""Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1"""
Q969E2	SCAMP4	Secretory carrier-associated membrane protein 4
O15374	SLC16A4	Monocarboxylate transporter 5
Q6PML9	Slc30a9	Proton-coupled zinc antiporter SLC30A9, mitochondrial
Q8NHG7	SVIP	Small VCP/p97-interacting protein
O43759	SYNGR1	Synaptogyrin-1
Q9Y4P3	TBL2	Transducin beta-like protein 2
P21731	TBXA2R	Thromboxane A2 receptor
O15321	TM9SF1	Transmembrane 9 superfamily member 1
Q9BXJ8	TMEM120A	Transmembrane protein 120A
Q6UW68	TMEM205	Transmembrane protein 205
Q9HBM0	VEZT	Vezatin
Q9H2C2	ARV1	Protein ARV1
P30411	BDKRB2	B2 bradykinin receptor
O14735	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
Q9NXW2	DNAJB12	DnaJ homolog subfamily B member 12
O94919	ENDOD1	Endonuclease domain-containing 1 protein
Q8N6M3	FITM2	Acyl-coenzyme A diphosphatase FITM2
Q9UJ14	GGT7	Glutathione hydrolase 7
Q9Y3E0	GOLT1B	Vesicle transport protein GOT1B
O60725	ICMT	Protein-S-isoprenylcysteine O-methyltransferase
Q70UQ0	IKBIP	Inhibitor of nuclear factor kappa-B kinase-interacting protein
Q96CX2	KCTD12	BTB/POZ domain-containing protein KCTD12
Q14165	MLEC	Malectin
P30559	OXTR	Oxytocin receptor
Q9BY21	GPR87	G-protein coupled receptor 87
P59190	Rab15	Ras-related protein Rab-15
O15173	PGRMC2	Membrane-associated progesterone receptor component 2
Q8IY26	PLPP6	Polyisoprenoid diphosphate/phosphate phosphohydrolase PLPP6
O15258	RER1	Protein RER1
Q96K19	RNF170	E3 ubiquitin-protein ligase RNF170
Q99500	S1PR3	Sphingosine 1-phosphate receptor 3
O75396	Sec22b	Vesicle-trafficking protein SEC22b
Q9UNL2	SSR3	Translocon-associated protein subunit gamma
Q6UWJ1	TMCO3	Transmembrane and coiled-coil domain-containing protein 3
Q9NVV0	TMEM38B	Trimeric intracellular cation channel type B
Q9BTV4	TMEM43	Transmembrane protein 43
Q15006	EMC2	ER membrane protein complex subunit 2
Q9BSR8	YIPF4	Protein YIPF4
O95674	CDS2	Phosphatidate cytidylyltransferase 2
P61803	DAD1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1
Q9GZP9	DERL2	Derlin-2
Q9Y394	DHRS7	Dehydrogenase/reductase SDR family member 7
P48060	GLIPR1	Glioma pathogenesis-related protein 1
Q9NZH0	GPRC5B	G-protein coupled receptor family C group 5 member B
Q06136	KDSR	3-ketodihydrosphingosine reductase
Q9C0E8	LNPK	Endoplasmic reticulum junction formation protein lunapark
Q8IYS2	KIAA2013	Uncharacterized protein KIAA2013
O75438	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1
Q9NXS2	QPCTL	Glutaminyl-peptide cyclotransferase-like protein
Q00765	REEP5	Receptor expression-enhancing protein 5
Q96EY1-1	Dnaja3	DnaJ homolog subfamily A member 3, mitochondrial
O00264	PGRMC1	Membrane-associated progesterone receptor component 1
Q96S52	PIGS	GPI-anchor transamidase component PIGS
P23219	PTGS1	Prostaglandin G/H synthase 1
Q71UM5	RPS27L	Ribosomal protein eS27-like
Q96FQ6	S100A16	Protein S100-A16
Q9NTJ5	Sacm1l	Phosphatidylinositol-3-phosphatase SAC1
P60468	SEC61B	Protein transport protein Sec61 subunit beta
Q99442	SEC62	Translocation protein SEC62
Q8NEW0	SLC30A7	Zinc transporter 7
Q9H2V7	SPNS1	Protein spinster homolog 1
Q9HD45	TM9SF3	Transmembrane 9 superfamily member 3
Q9UM00	TMCO1	Calcium load-activated calcium channel
Q9NX61	TMEM161A	Transmembrane protein 161A
Q9BSA9	TMEM175	Endosomal/lysosomal proton channel TMEM175
P57088	TMEM33	Transmembrane protein 33
Q8N2K0	ABHD12	Lysophosphatidylserine lipase ABHD12
O95870	ABHD16A	Phosphatidylserine lipase ABHD16A
Q9BT22	ALG1	Chitobiosyldiphosphodolichol beta-mannosyltransferase
Q9NW15	Ano10	Anoctamin-10
Q6DD88	ATL3	Atlastin-3
O75964	ATP5MG	"""ATP synthase F(0) complex subunit g, mitochondrial"""
Q9HDC9	APMAP	Adipocyte plasma membrane-associated protein
Q5VV42	CDKAL1	Threonylcarbamoyladenosine tRNA methylthiotransferase
Q9Y6K0	CEPT1	Choline/ethanolaminephosphotransferase 1
Q7KZN9	COX15	Heme A synthase COX15
Q9NVH1	DNAJC11	DnaJ homolog subfamily C member 11
Q96PE1	ADGRA2	Adhesion G protein-coupled receptor A2
O95297	MPZL1	Myelin protein zero-like protein 1
Q6PIU2	NCEH1	Neutral cholesterol ester hydrolase 1
Q4ZIN3	TMEM259	Membralin
P37059	HSD17B2	17-beta-hydroxysteroid dehydrogenase type 2
Q9UHC7	MKRN1	E3 ubiquitin-protein ligase makorin-1
Q16831	UPP1	Uridine phosphorylase 1
Q14088	RAB33A	Ras-related protein Rab-33A
Q96EK4	THAP11	THAP domain-containing protein 11
Q9H0H3	KLHL25	Kelch-like protein 25
Q9NP81	SARS2	Serine--tRNA ligase, mitochondrial
P49458	SRP9	Signal recognition particle 9 kDa protein
Q5H8A4	PIGG	GPI ethanolamine phosphate transferase 2, catalytic subunit
Q8TEQ8	PIGO	GPI ethanolamine phosphate transferase 3, catalytic subunit
Q9H490	PIGU	GPI-anchor transamidase component PIGU
Q9P035	HACD3	"""Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3"""
Q9Y3E5	PTRH2	Peptidyl-tRNA hydrolase 2, mitochondrial
Q9NP72	RAB18	Ras-related protein Rab-18
Q14699	RFTN1	Raftlin
O15127	SCAMP2	Secretory carrier-associated membrane protein 2
O14828	SCAMP3	Secretory carrier-associated membrane protein 3
P67812	SEC11A	Signal peptidase complex catalytic subunit SEC11A
Q8NBJ9	Sidt2	SID1 transmembrane family member 2
Q8TB61	SLC35B2	Adenosine 3'-phospho 5'-phosphosulfate transporter 1
P51571	SSR4	Translocon-associated protein subunit delta
Q96BY9	SARAF	Store-operated calcium entry-associated regulatory factor
Q9Y320	TMX2	Thioredoxin-related transmembrane protein 2
Q96IX5	ATP5MK	"""ATP synthase F(0) complex subunit k, mitochondrial"""
Q5BJH7	YIF1B	Protein YIF1B
O75947	ATP5PD	ATP synthase peripheral stalk subunit d, mitochondrial
P00846	MT-ATP6	"""ATP synthase F(0) complex subunit a"""
O75110	ATP9A	Probable phospholipid-transporting ATPase IIA
Q96G23	CERS2	Ceramide synthase 2
P08172	CHRM2	Muscarinic acetylcholine receptor M2
Q14332	FZD2	Frizzled-2
O75084	FZD7	Frizzled-7
Q53GQ0	HSD17B12	Very-long-chain 3-oxoacyl-CoA reductase
P10620	MGST1	Microsomal glutathione S-transferase 1
Q13724	MOGS	Mannosyl-oligosaccharide glucosidase
Q9NVI7	ATAD3A	ATPase family AAA domain-containing protein 3A
Q92643	PIGK	GPI-anchor transamidase
P50479	PDLIM4	PDZ and LIM domain protein 4
Q15005	SPCS2	Signal peptidase complex subunit 2
Q9Y3D0	CIAO2B	Cytosolic iron-sulfur assembly component 2B
P24864	CCNE1	G1/S-specific cyclin-E1
Q13227	GPS2	G protein pathway suppressor 2
Q14209	E2F2	Transcription factor E2F2
Q4G0F5	VPS26B	Vacuolar protein sorting-associated protein 26B
Q9P0J7	KCMF1	E3 ubiquitin-protein ligase KCMF1
Q9BZG1	RAB34	Ras-related protein Rab-34
Q8IXI2	RHOT1	Mitochondrial Rho GTPase 1
Q8WVM8	SCFD1	Sec1 family domain-containing protein 1
Q9UGP8	SEC63	Translocation protein SEC63 homolog
P78381	SLC35A2	UDP-galactose translocator
P08240	SRPRA	Signal recognition particle receptor subunit alpha
Q9NZ01	TECR	Very-long-chain enoyl-CoA reductase
P42166	TMPO	Lamina-associated polypeptide 2, isoform alpha
Q9P0L0	VAPA	Vesicle-associated membrane protein-associated protein A
Q9GZM5	YIPF3	Protein YIPF3
Q8NBU5	ATAD1	Outer mitochondrial transmembrane helix translocase
P18859	ATP5PF	ATP synthase peripheral stalk subunit F6, mitochondrial
Q969X5	ERGIC1	Endoplasmic reticulum-Golgi intermediate compartment protein 1
A0FGR8	ESYT2	Extended synaptotagmin-2
Q96TC7	RMDN3	Regulator of microtubule dynamics protein 3
O94851	MICAL2	[F-actin]-monooxygenase MICAL2
Q9NX40	OCIAD1	OCIA domain-containing protein 1
Q96DZ1	ERLEC1	Endoplasmic reticulum lectin 1
Q01628	IFITM3	Interferon-induced transmembrane protein 3
Q9NZJ7	MTCH1	Mitochondrial carrier homolog 1
Q9NZV5	SELENON	Selenoprotein N
Q9UHR5	SAP30BP	SAP30-binding protein
Q9UNK0	STX8	Syntaxin-8
Q9Y2S7	POLDIP2	Polymerase delta-interacting protein 2
O14896	Irf6	Interferon regulatory factor 6
Q9Y244	POMP	Proteasome maturation protein
Q9Y3C4	TPRKB	EKC/KEOPS complex subunit TPRKB
O00716	E2F3	Transcription factor E2F3
O95967	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2
Q16254	E2F4	Transcription factor E2F4
Q08999	RBL2	Retinoblastoma-like protein 2
Q969N2	PIGT	GPI-anchor transamidase component PIGT
Q15165	PON2	Serum paraoxonase/arylesterase 2
Q8TC12	RDH11	Retinol dehydrogenase 11
Q9NRX5	SERINC1	Serine incorporator 1
Q9UP95	SLC12A4	Solute carrier family 12 member 4
Q96BI1	SLC67A1	Solute carrier family 67 member A1
